2020-07-05 22:49:43 [INFO] <KERNEL> Starting common-lisp kernel
2020-07-05 22:49:43 [INFO] <KERNEL> Parsing connection file /Users/meister/Library/Jupyter/runtime/kernel-cec3daad-7a55-4db0-a17b-dbd24708a29f.json
2020-07-05 22:49:43 [INFO] <MAC> Starting message authentification
2020-07-05 22:49:43 [INFO] <MAC> Using signature scheme hmac-sha256 for message signing.
2020-07-05 22:49:43 [INFO] <HB-CHANNEL> Starting channel on tcp://127.0.0.1:64944
2020-07-05 22:49:43 [INFO] <IOPUB-CHANNEL> Starting channel on tcp://127.0.0.1:64942
2020-07-05 22:49:43 [INFO] <HB-CHANNEL> Starting thread
2020-07-05 22:49:43 [INFO] <SHELL-CHANNEL> Starting channel on tcp://127.0.0.1:64941
2020-07-05 22:49:43 [INFO] <STDIN-CHANNEL> Starting channel on tcp://127.0.0.1:64943
2020-07-05 22:49:43 [INFO] <SHELL-CHANNEL> Starting thread
2020-07-05 22:49:43 [INFO] <CONTROL-CHANNEL> Starting channel on tcp://127.0.0.1:64945
2020-07-05 22:49:43 [INFO] <HISTORY> Starting history
2020-07-05 22:49:43 [INFO] <CONTROL-CHANNEL> Starting thread
2020-07-05 22:49:43 [INFO] <KERNEL> Setting amber host pathname translation -> /Users/meister/Development/amber18/
2020-07-05 22:49:43 [INFO] <SHELL-CHANNEL> Received kernel_info_request message
2020-07-05 22:49:43 [INFO] <KERNEL> Handling kernel_info_request message
2020-07-05 22:49:43 [INFO] <SHELL-CHANNEL> Received execute_request message
2020-07-05 22:49:43 [INFO] <KERNEL> Handling execute_request message
2020-07-05 22:49:43 [INFO] <SHELL-CHANNEL> Received kernel_info_request message
2020-07-05 22:49:45 [INFO] <KERNEL> Handling kernel_info_request message
2020-07-05 22:49:54 [INFO] <SHELL-CHANNEL> Received execute_request message
2020-07-05 22:49:54 [INFO] <KERNEL> Handling execute_request message
2020-07-05 22:50:14 [INFO] <SHELL-CHANNEL> Received execute_request message
2020-07-05 22:50:14 [INFO] <KERNEL> Handling execute_request message
2020-07-05 22:50:16 [INFO] <SHELL-CHANNEL> Received execute_request message
2020-07-05 22:50:16 [INFO] <KERNEL> Handling execute_request message
2020-07-05 22:50:18 [INFO] <SHELL-CHANNEL> Received execute_request message
2020-07-05 22:50:18 [INFO] <KERNEL> Handling execute_request message
2020-07-05 22:50:32 [INFO] <SHELL-CHANNEL> Received execute_request message
2020-07-05 22:50:32 [INFO] <KERNEL> Handling execute_request message
2020-07-05 22:51:45 [INFO] <SHELL-CHANNEL> Received execute_request message
2020-07-05 22:51:45 [INFO] <KERNEL> Handling execute_request message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:46 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:46 [INFO] <KERNEL> Handling comm_msg message
